domain,trial_type,MAP
Body image,tt1,1.3080117302052785
Body image,tt2,1.3054193548387096
Body image,tt3,1.3390117302052786
Body image,tt4,1.2559902248289345
Clinton-Trump,tt1,1.2883958944281524
Clinton-Trump,tt2,1.3093548387096774
Clinton-Trump,tt3,1.3119560117302052
Clinton-Trump,tt4,1.3141505376344087
Countries (1),tt1,1.2731837732160312
Countries (1),tt2,1.325407624633431
Countries (1),tt3,1.2927869012707722
Countries (1),tt4,1.3041358748778102
Countries (2),tt1,1.3156334310850442
Countries (2),tt2,1.3058054740957967
Countries (2),tt3,1.314293255131965
Countries (2),tt4,1.308090909090909
Death (1),tt1,1.294
Death (1),tt2,1.302295210166178
Death (1),tt3,1.1481339198435974
Death (1),tt4,1.3309354838709677
Death (2),tt1,1.290960899315738
Death (2),tt2,1.2850527859237537
Death (2),tt3,1.2967096774193547
Death (2),tt4,1.2954868035190614
Death (3),tt1,1.250149560117302
Death (3),tt2,1.3074506353861193
Death (3),tt3,1.2945131964809384
Death (3),tt4,1.3188338220918867
Disgust (1),tt1,1.120873900293255
Disgust (1),tt2,1.1319951124144674
Disgust (1),tt3,1.1331290322580645
Disgust (1),tt4,1.1254086021505376
Disgust (2),tt1,1.27966862170088
Disgust (2),tt2,1.3107644183773215
Disgust (2),tt3,1.3022785923753666
Disgust (2),tt4,1.2440488758553276
Friend-Enemy,tt1,1.2970645161290324
Friend-Enemy,tt2,1.2997800586510264
Friend-Enemy,tt3,1.316266862170088
Friend-Enemy,tt4,1.3166285434995113
Gender (1),tt1,1.3160322580645163
Gender (1),tt2,1.30652688172043
Gender (1),tt3,1.3245835777126098
Gender (1),tt4,1.308095796676442
Gender (2),tt1,1.2868387096774194
Gender (2),tt2,1.3134926686217008
Gender (2),tt3,1.2896373411534703
Gender (2),tt4,1.298407624633431
Lincoln-Hitler,tt1,0.9084222873900294
Lincoln-Hitler,tt2,0.9183030303030303
Lincoln-Hitler,tt3,0.922982404692082
Lincoln-Hitler,tt4,1.3022033235581623
Personality - Agreeableness,tt1,1.2933548387096776
Personality - Agreeableness,tt2,1.3104457478005866
Personality - Agreeableness,tt3,1.3036656891495602
Personality - Agreeableness,tt4,1.3187145650048877
Personality - Conscientiousness,tt1,1.3037947214076246
Personality - Conscientiousness,tt2,1.3197331378299122
Personality - Conscientiousness,tt3,1.3016304985337244
Personality - Conscientiousness,tt4,1.298754643206256
Personality - Extraversion,tt1,1.3156217008797655
Personality - Extraversion,tt2,1.2898797653958944
Personality - Extraversion,tt3,1.3213460410557185
Personality - Extraversion,tt4,1.2982287390029326
Personality - Neuroticism,tt1,1.2642023460410556
Personality - Neuroticism,tt2,1.3191534701857281
Personality - Neuroticism,tt3,1.2981632453567937
Personality - Neuroticism,tt4,1.2946774193548387
Personality - Openness,tt1,1.3104477028347996
Personality - Openness,tt2,1.3090967741935484
Personality - Openness,tt3,1.3355161290322581
Personality - Openness,tt4,1.3203704789833823
Race (1),tt1,1.2930850439882697
Race (1),tt2,1.309136852394917
Race (1),tt3,1.300234604105572
Race (1),tt4,1.2970205278592375
Race (2),tt1,0.7500430107526882
Race (2),tt2,0.7930058651026393
Race (2),tt3,0.7921212121212121
Race (2),tt4,0.791692082111437
Religion,tt1,1.2262209188660802
Religion,tt2,1.3049579667644184
Religion,tt3,1.303774193548387
Religion,tt4,1.303587487781036
Rich-Poor,tt1,1.3107409579667646
Rich-Poor,tt2,1.2896500488758553
Rich-Poor,tt3,1.3053636363636363
Rich-Poor,tt4,1.315041055718475
Sexuality (1),tt1,0.9778035190615836
Sexuality (1),tt2,0.9975219941348974
Sexuality (1),tt3,0.9867575757575757
Sexuality (1),tt4,0.9915630498533724
Sexuality (2),tt1,1.0116129032258065
Sexuality (2),tt2,0.895217008797654
Sexuality (2),tt3,0.9813391984359726
Sexuality (2),tt4,1.0115630498533725
Shapes & colors (1),tt1,1.2888944281524928
Shapes & colors (1),tt2,1.3024017595307917
Shapes & colors (1),tt3,1.3523489736070382
Shapes & colors (1),tt4,1.280659824046921
Shapes & colors (2),tt1,1.0470117302052786
Shapes & colors (2),tt2,1.3114193548387096
Shapes & colors (2),tt3,1.288763440860215
Shapes & colors (2),tt4,1.2484281524926686
Shapes & colors (3),tt1,1.3237976539589444
Shapes & colors (3),tt2,1.3102609970674488
Shapes & colors (3),tt3,1.3027214076246336
Shapes & colors (3),tt4,1.2266774193548386
Shapes & colors (4),tt1,1.1619061583577712
Shapes & colors (4),tt2,1.320659824046921
Shapes & colors (4),tt3,1.3071759530791789
Shapes & colors (4),tt4,1.3498934506353861
Shapes & colors (5),tt1,1.221357771260997
Shapes & colors (5),tt2,1.297820136852395
Shapes & colors (5),tt3,1.3174848484848485
Shapes & colors (5),tt4,1.3167741935483872
Shapes & colors (6),tt1,1.2908973607038123
Shapes & colors (6),tt2,1.2896471163245358
Shapes & colors (6),tt3,1.2993900293255132
Shapes & colors (6),tt4,1.2827741935483872
Shapes & colors (7),tt1,0.9581847507331378
Shapes & colors (7),tt2,1.2570733137829913
Shapes & colors (7),tt3,1.3102727272727273
Shapes & colors (7),tt4,1.1382258064516129
Stigma - ADHD,tt1,1.1323264907135875
Stigma - ADHD,tt2,1.1274193548387097
Stigma - ADHD,tt3,1.1273695014662757
Stigma - ADHD,tt4,1.1365601173020528
Stigma - PTSD,tt1,1.1322091886608017
Stigma - PTSD,tt2,1.1379002932551319
Stigma - PTSD,tt3,1.1249296187683284
Stigma - PTSD,tt4,1.1234789833822092
Stigma - Schizophrenia,tt1,1.1108856304985337
Stigma - Schizophrenia,tt2,1.1324330400782014
Stigma - Schizophrenia,tt3,1.1287634408602152
Stigma - Schizophrenia,tt4,1.1302238514174
Valenced words,tt1,1.2080606060606063
Valenced words,tt2,1.3290332355816226
Valenced words,tt3,1.3216314760508308
Valenced words,tt4,1.3116363636363637
